AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,62693,GALAK TUBITO MILK,32,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62694,NESTLE TANGO ITALIA,36,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62695,CHIN CHIN CHOCOLATE GRAJEAS,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62696,CHOCOPALETON MASMELO,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62697,GOLOCHIPS CHOCOLATE,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62698,BON O BON GRANEL,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62699,BE COCOA TRUFAS,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62700,TAFI COQUEIROS GRANEL,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62701,RITTER MINI SURTIDO GRANEL,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62702,AGOGO HALLOWEEN CALABAZA,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62706,SUPER HIPER ACIDO HALLOWEEN,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62707,AMERICAN CHUP PINTA LENGUAS,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62708,MELO CARAMELO PINTA LENGUAS,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62709,ZOOM ACIDO MASTICABLE SURTIDO,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62715,BONANZA GOMAS HALLOWEEN,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62717,KIT KAT 4 DEDOS GRANEL,14,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62728,NESTLE GALLETA ANIS,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62729,RIKOMELOS GRANEL,10,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62849,NOGGY CHOCOLATE,1,,0,85,28,19,45,0.02394,12.5,522.138,,,DESPACHO LOCAL ARTICULO,
,64206,AMERICAN SURTIDO CARAMELO,1,,0,120,8,45,70,0.0252,20,793.65,,,DESPACHO LOCAL ARTICULO,
,64211,AGOGO CHICLE SURTIDO,4,,0,60,26,33,48,0.041184,10,242.812,,,DESPACHO LOCAL ARTICULO,
,64219,NESTLE ZOOLOGIA,1,,0,200,20,48,64,0.06144,13.5,219.726,,,DESPACHO LOCAL ARTICULO,
,64220,TANGO MINI SURTIDO,1,1.78611E+13,0,200,25,26,56,0.0364,7,192.307,,,DESPACHO LOCAL ARTICULO,
,64855,PLOP MINI CHUPETE,4,,0,50,20,28,45,0.0252,14,555.555,,,DESPACHO LOCAL ARTICULO,
,65198,AMERICAN TOFFE SURTIDO,4,,0,80,20,20,45,0.018,10,555.555,,,DESPACHO LOCAL ARTICULO,
,65206,NESTLE BIZCOCHO CHOCOLATE,1,,0,60,18,27,42,0.020412,6,293.944,,,DESPACHO LOCAL ARTICULO,
,65207,NESTLE VICTORIA LIMON,1,,0,200,25,30,42,0.0315,6,190.476,,,DESPACHO LOCAL ARTICULO,
,65211,DELIGOMIS,15,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,65257,SUPERFRUTY FRESA  .,1,1.77022E+13,0,60,37,28,38,0.039368,18,457.224,,,DESPACHO LOCAL ARTICULO,
,66239,TAFI SURTIDO,4,,0,60,25,30,50,0.0375,10,266.666,,,DESPACHO LOCAL ARTICULO,
,66251,ECUAGOLOSINAS TOFFE SURTIDO,1,,0,60,20,34,45,0.0306,10,326.797,,,DESPACHO LOCAL ARTICULO,
,66255,ECUAGOLOSINAS CARAMELO SURTIDO,1,,0,60,20,24,45,0.0216,10,462.962,,,DESPACHO LOCAL ARTICULO,
,66271,ARCOR BUTTER TOFFE SURTIDO ARCOR,1,,0,100,16,23,37,0.013616,6,440.658,,,DESPACHO LOCAL ARTICULO,
,66273,AMERICAN SAQUITO CARAMELO SURTIDO,4,,0,50,5,45,50,0.01125,10,888.888,,,DESPACHO LOCAL ARTICULO,
,66286,ARCOR BUTTER CREAM,1,1.77906E+13,0,85,20,24,33,0.01584,5.5,347.222,,,DESPACHO LOCAL ARTICULO,
,66287,ARCOR CARAMELO SURTIDO FRUTAS,1,1.77572E+13,0,65,23,30,36,0.02484,5.6,225.442,,,DESPACHO LOCAL ARTICULO,
,66676,ECUACOCOA CHOCOBOLITAS,1,2.66676E+13,0,75,22,24,36,0.019008,10,526.094,,,DESPACHO LOCAL ARTICULO,
,66745,SUPERFRUTY SURTIDO .,1,1.77022E+13,0,60,40,30,42,0.0504,18,357.142,,,DESPACHO LOCAL ARTICULO,
,66748,AMERICAN TOFFE SURTIDO EMPACADO,1,1.7861E+13,0,60,21,32,46,0.030912,10,323.498,,,DESPACHO LOCAL ARTICULO,
,66749,TAFI SURITDO EMPACADO,1,1.7861E+13,0,60,15,20,30,0.009,13,1444.444,,,DESPACHO LOCAL ARTICULO,
,66750,AMERICAN SAQUITO SURTIDO EMPACADO,1,1.7861E+13,0,60,15,20,25,0.0075,13,1733.333,,,DESPACHO LOCAL ARTICULO,
,66753,ECUAGOLOSINAS CARAMELO SURTIDO EMPACADO,1,1.11111E+13,0,60,23,28,48,0.030912,10,323.498,,,DESPACHO LOCAL ARTICULO,
,66754,ECUACOCOA CHOCOBOLITAS EMPACADAS,1,2.66754E+13,0,75,30,30,35,0.0315,12,380.952,,,DESPACHO LOCAL ARTICULO,
,66758,NESTLE PLATILLO EMPACADO,1,1.11111E+13,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,66759,NESTLE BOMBON EMPACADO,1,,0,60,,,,0,,,,,DESPACHO LOCAL ARTICULO,
,66760,TANGO MINI EMPACADO,1,1.11111E+13,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,66762,NESTLE ZOOLOGIA EMPACADA,1,2.78611E+13,0,60,,,,,,,,,DESPACHO LOCAL ARTICULO,
,66764,NESTLE BIZCOCHO CHOCOLATE EMPACADO,1,1.11111E+13,0,200,1,1,1,0.000001,1,1000000,,,DESPACHO LOCAL ARTICULO,
,66765,NESTLE VICTORIA EMPACADA,1,1.11111E+13,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,66765,NESTLE VICTORIA EMPACADA,10,,0,60,,,,,,,,,DESPACHO LOCAL ARTICULO,
,66769,ARCOR CARAMELO SAQUI FRUTAS,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,67044,CUA CUA GALLETA,1,7.77502E+13,0,60,23,35,48,0.03864,5,129.399,,,DESPACHO LOCAL ARTICULO,
,67046,AMERICAN CARAMELO SURTIDO EMPACADO,1,1.7861E+13,0,60,15,15,30,0.00675,8,1185.185,,,DESPACHO LOCAL ARTICULO,
,67091,YOGUETA CANDIES    .,1,1.77022E+13,0,60,36,28,37,0.037296,14,375.375,,,DESPACHO LOCAL ARTICULO,
,67443,PILLOW MARSHMALLOWS,1,2.7861E+13,0,60,22,38,40,0.03344,5,149.521,,,DESPACHO LOCAL ARTICULO,
,67445,MANICERO MINI,1,7.861E+12,0,60,24,32,42,0.032256,11,341.021,,,DESPACHO LOCAL ARTICULO,
,67512,BIOS CHOCOLATE,1,,0,60,33,28,38,0.035112,9,256.322,,,DESPACHO LOCAL ARTICULO,
,67515,NOGGY CHOCOLATE,1,1.11111E+13,0,60,28,20,45,0.0252,13,515.873,,,DESPACHO LOCAL ARTICULO,
,68065,GALAK WAFER,1,7.86109E+12,0,40,25,30,39,0.02925,5,170.94,,,DESPACHO LOCAL ARTICULO,
,68095,ARCOR BRUTTER CREAM EMPACADO,1,1.11111E+13,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69091,VAFERITO,1,,0,200,25,25,60,0.0375,8,213.333,,,DESPACHO LOCAL ARTICULO,
,69094,ARCOR TOFFEE SURTIDO ECO,1,1.77572E+13,0,60,20,30,38,0.0228,10,438.596,,,DESPACHO LOCAL ARTICULO,
,69127,VAFERITO EMPACADO,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69128,ARCOR TOFFE SURTIDO ECONOMICO EMPACADO,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69134,SUPEREFRUTY FRESA EMPA      .,1,,0,60,12,42,42,0.021168,9,425.17,,,DESPACHO LOCAL ARTICULO,
,69135,SUPERFRUTY SURT EMPACA    .,1,,0,60,12,42,42,0.021168,9,425.17,,,DESPACHO LOCAL ARTICULO,
,69136,YOGUETA CANDIES EMP     .,1,,0,60,1,1,1,0.000001,1,1000000,,,DESPACHO LOCAL ARTICULO,
,69137,ECUAGOLOSINAS TOFFE SURTIDO EMPACADO,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69138,BIOS CHOCOLATE EMPACADO,1,,0,,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69141,GALAK WAFER EMPACADO,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69142,ARCOR FRTAS SURT EMPAC,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69143,ARCOR SAQUITO SURTIDO EMPACA,1,,0,60,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,69144,PILLOW MARSHMALLOWS EMPACADO,1,1.7861E+13,0,60,18,22,32,0.012672,5,394.57,,,DESPACHO LOCAL ARTICULO,
,69168,ARCOR SURTIDO STRAWBERRY,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,69533,HUEVITOS LA UNIVERSAL,7,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
