CODIGOARTICULO;CODIGOCLASIFICACION
1016736;1606
1016737;1606
1016738;1606
1016739;1606
1016744;1606
1016745;1606
1016746;1606
1016747;1606
1016748;1606
1016750;1606
1016752;1606
1016753;1606
1016754;1606
1016756;1606
1016761;1606
1016762;1606
1016763;1606
1016764;1606
1016765;1606
1016766;1606
1016767;1606
1016768;1606
1016769;1606
1016770;1606
1016771;1606
1016772;1606
1016774;1606
1016775;1606
1016776;1606
1016787;1606
1016788;1606
1016789;1606
1016790;1606
1016791;1606
1016792;1606
1016835;1606
1016840;1606
1016899;1306
1016984;1606
1016985;1606
1016989;1606
1017026;1606
1017027;1606
1017028;1606
1017029;1606
1017030;1606
1017031;1606
1017032;1606
1017033;1606
1017034;1606
1017035;1606
1017036;1606
1017037;1606
1017038;1606
1017039;1606
1017040;1606
1017041;1606
1017042;1606
1017043;1606
1017044;1606
1017045;1606
1017046;1606
1017047;1606
1017048;1606
1017049;1606
1017050;1606
1017051;1606
1017052;1606
1017053;1606
1017054;1606
1017055;1606
1017056;1606
1017057;1606
1017058;1606
1017059;1606
1017060;1606
1017061;1606
1017062;1606
1017063;1606
1017064;1606
1017065;1606
1017066;1606
1017067;1606
1017068;1606
1017069;1606
1017070;1606
1017071;1606
1017248;1606
1017249;1606
1017250;1606
1017375;1606
1017376;1606
1017377;1606
1017382;1606
1017384;1606
1017452;1606
1017453;1606
1017454;1606
1017458;1606
1017459;1606
1017460;1606
1017461;1606
1017462;1606
1017505;1606
1017508;1606
1017509;1606
1017511;1008
1017514;1606
1017526;1040
1017529;1028
1017530;1606
1017531;1040
1017532;1028
1017533;1606
1017534;1606
1017535;1028
1017536;1040
1017537;1606
1017538;1028
1017539;1606
1017540;1606
1017541;4138
1017542;1040
1017543;1028
1017544;4118
1017545;1606
1017546;1606
1017547;1606
1017548;1606
1017549;1606
1017550;4118
1017551;1028
1017552;1606
1017553;4118
1017554;4118
1017555;1606
1017556;4118
1017557;1606
1017558;1606
1017559;1606
1017561;1606
1017563;1606
1017564;1028
1017566;1028
1017570;1028
1017571;1606
1017572;1606
1017573;1606
1017574;1606
1017575;1606
1017576;1606
1017577;1606
1017578;1606
1017641;1606
1017642;1606
1017643;1606
1017668;1606
1017669;1606
1017670;1606
1017671;1606
1017672;1606
1017673;1606
1017674;1606
1017675;1606
1017752;1606
1017753;1606
1017755;1606
1017769;1606
101777;1037
1017770;1606
1017773;1152
1017774;1606
1017993;1606
1017994;1330
1017995;1606
1017997;1606
1017998;1606
1017999;1606
1018000;1606
1018001;1606
1018002;1606
1018003;1606
1018004;1318
